referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
RUM-VRS19JETAB,rumex,ENT → Examination Devices,"Vrs-19 Jetable Couteau Mvr, Multifacet, 19 Ga, Droit, Safety Système, 6 Par Boîte","Vrs-19 Disposable MVR Knife, Multifacet, 19 Ga, Straight, Safety System, 6 Per Box","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vra-19-mvr_knife_with_safety_lid,vrs-20-mvr_knife_with_safety_lid,2-101t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vra-19-mvr_knife_with_safety_lid,vrs-20-mvr_knife_with_safety_lid,2-101t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1838_4543_550x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_3843cd49-6978-4867-bf8c-78ab179ad560_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1838_4543_953x130.png | https://rumex.com/cdn/shop/products/mqdefault_3843cd49-6978-4867-bf8c-78ab179ad560_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_19bb8695-912b-4016-bfdb-4ffb0e5dfba5_320x180.jpg,active,false
RUM-VRA23JETAB,rumex,ENT → Examination Devices,"Vra-23 Jetable Couteau Mvr, Multifacet, 23 Ga, Angulé, Safety Système, 6 Par Boîte","Vra-23 Disposable MVR Knife, Multifacet, 23 Ga, Angled, Safety System, 6 Per Box","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vrs-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-5173-23-two_step_trocar_system,12-410-23d_disposable_eckardt_end_gripping_forceps,12-304-23d_disposable_gripping_forceps,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vrs-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-5173-23-two_step_trocar_system,12-410-23d_disposable_eckardt_end_gripping_forceps,12-304-23d_disposable_gripping_forceps,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1843_4549_418x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_5682d5b1-decf-4bb8-ae74-004d69d2abb7_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1843_4549_912x165.png | https://rumex.com/cdn/shop/products/mqdefault_5682d5b1-decf-4bb8-ae74-004d69d2abb7_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_38cbcc3c-ea8e-4e96-9c49-0e7c3bc9d5f8_320x180.jpg,active,false
RUM-VRA20JETAB,rumex,ENT → Examination Devices,"Vra-20 Jetable Couteau Mvr, Multifacet, 20 Ga, Angulé, Safety Système, 6 Par Boîte","Vra-20 Disposable MVR Knife, Multifacet, 20 Ga, Angled, Safety System, 6 Per Box","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vrs-20-mvr_knife_with_safety_lid,vra-23-mvr_knife_with_safety_lid,2-100t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vrs-20-mvr_knife_with_safety_lid,vra-23-mvr_knife_with_safety_lid,2-100t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1842_4548_418x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_c828dd27-c11b-493b-8ec9-aaebd7231ed1_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1842_4548_912x165.png | https://rumex.com/cdn/shop/products/mqdefault_c828dd27-c11b-493b-8ec9-aaebd7231ed1_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_71320d40-270c-4c25-a076-ff0f4bfa21ab_320x180.jpg,active,false
RUM-VRA19JETAB,rumex,ENT → Examination Devices,"Vra-19 Jetable Couteau Mvr, Multifacet, 19 Ga, Angulé, Safety Système, 6 Par Boîte","Vra-19 Disposable MVR Knife, Multifacet, 19 Ga, Angled, Safety System, 6 Per Box","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vrs-19-mvr_knife_with_safety_lid,vra-20-mvr_knife_with_safety_lid,2-101t-braunstein_fixed_caliper,12-410-23-eckardt_end_gripping_forceps_23ga_tip_only,12-304-23-gripping_forceps_tip_only_23ga,18-304-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vrs-19-mvr_knife_with_safety_lid,vra-20-mvr_knife_with_safety_lid,2-101t-braunstein_fixed_caliper,12-410-23-eckardt_end_gripping_forceps_23ga_tip_only,12-304-23-gripping_forceps_tip_only_23ga,18-304-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1841_4546_418x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_19bb8695-912b-4016-bfdb-4ffb0e5dfba5_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1841_4546_912x165.png | https://rumex.com/cdn/shop/products/mqdefault_19bb8695-912b-4016-bfdb-4ffb0e5dfba5_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_3843cd49-6978-4867-bf8c-78ab179ad560_320x180.jpg,active,false
RUM-TR17JETABL,rumex,ENT → Examination Devices,"Tr-17 Jetable Trapezoid Couteau, Simple Bevel, 1.50-1.70 Mm, Angulé, Safety Système, 6 Par Boîte","Tr-17 Disposable Trapezoid Knife, Single Bevel, 1.50-1.70 Mm, Angled, Safety System, 6 Per Box","Pour tunnel incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.tr-10-trapezoidal_knife_with_safety_lid,6-20-6-100-phaco_diamond_knife,sp-15-side_port_knife_with_safety_lid,7-063d-disposable_nagahara_phaco_chopper_rhd,5-0331d-disposable_lester_lens_manipulator,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For tunnel incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.tr-10-trapezoidal_knife_with_safety_lid,6-20-6-100-phaco_diamond_knife,sp-15-side_port_knife_with_safety_lid,7-063d-disposable_nagahara_phaco_chopper_rhd,5-0331d-disposable_lester_lens_manipulator,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1829_4533_561x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_1fbd0cce-781f-42a7-a525-2c5a282a4979_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1829_4533_912x122.png | https://rumex.com/cdn/shop/products/mqdefault_1fbd0cce-781f-42a7-a525-2c5a282a4979_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_e2dba0d5-8092-4a03-84d1-ed1274ab2304_320x180.jpg,active,false
RUM-TR10JETABL,rumex,ENT → Examination Devices,"Tr-10 Jetable Trapezoid Couteau, Simple Bevel, 1.20-1.40 Mm, Angulé, Safety Système, 6 Par Boîte","Tr-10 Disposable Trapezoid Knife, Single Bevel, 1.20-1.40 Mm, Angled, Safety System, 6 Per Box","Pour tunnel incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.tr-17-trapezoidal_knife_with_safety_lid,6-20-6-102-phaco_diamond_knife,sp-15-side_port_knife_with_safety_lid,7-063d-disposable_nagahara_phaco_chopper_rhd,5-0331d-disposable_lester_lens_manipulator,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For tunnel incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.tr-17-trapezoidal_knife_with_safety_lid,6-20-6-102-phaco_diamond_knife,sp-15-side_port_knife_with_safety_lid,7-063d-disposable_nagahara_phaco_chopper_rhd,5-0331d-disposable_lester_lens_manipulator,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1828_4532_561x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_e2dba0d5-8092-4a03-84d1-ed1274ab2304_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1828_4532_912x122.png | https://rumex.com/cdn/shop/products/mqdefault_e2dba0d5-8092-4a03-84d1-ed1274ab2304_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_1fbd0cce-781f-42a7-a525-2c5a282a4979_320x180.jpg,active,false
RUM-SP45JETABL,rumex,Ophthalmology → Treatment Devices,"Sp-45 Jetable Side-port Couteau, Double Bevel, 1.00 Mm, 45°, Droit, Safety Système, 6 Par Boîte","Sp-45 Disposable Side-port Knife, Double Bevel, 1.00 Mm, 45°, Straight, Safety System, 6 Per Box","Pour initial stab incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.sp-15-side_port_knife_with_safety_lid,sp-30-side_port_knife_with_safety_lid,cc-27-clear_corneal_knife,5-0331d-disposable_lester_lens_manipulator,7-093d-disposable_drysdale_nucleus_manipulator,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For initial stab incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.sp-15-side_port_knife_with_safety_lid,sp-30-side_port_knife_with_safety_lid,cc-27-clear_corneal_knife,5-0331d-disposable_lester_lens_manipulator,7-093d-disposable_drysdale_nucleus_manipulator,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1820_4558_450x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_31d6f149-9a2b-49c3-ac43-0e990623f887_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1820_4558_934x156.png | https://rumex.com/cdn/shop/products/mqdefault_31d6f149-9a2b-49c3-ac43-0e990623f887_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_ab6e6c5c-8059-42cb-87db-74aa48ff4a82_320x180.jpg,active,false
RUM-SP30JETABL,rumex,Ophthalmology → Treatment Devices,"Sp-30 Jetable Side-port Couteau, Double Bevel, 1.00 Mm, 30°, Droit, Safety Système, 6 Par Boîte","Sp-30 Disposable Side-port Knife, Double Bevel, 1.00 Mm, 30°, Straight, Safety System, 6 Per Box","Pour initial stab incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.sp-15-side_port_knife_with_safety_lid,sp-45-side_port_knife_with_safety_lid,cc-27-clear_corneal_knife,4-0551d-disposable_bonn_catalano_corneal_forceps,11-052d-disposable_vannas_capsulotomy_scissors,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_BestSelling.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/best_selling18.png?v=1612360270;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For initial stab incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.sp-15-side_port_knife_with_safety_lid,sp-45-side_port_knife_with_safety_lid,cc-27-clear_corneal_knife,4-0551d-disposable_bonn_catalano_corneal_forceps,11-052d-disposable_vannas_capsulotomy_scissors,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_BestSelling.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/best_selling18.png?v=1612360270;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1819_4557_450x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_b9d91d83-3968-4aba-b2f7-e2992ed6b8f3_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1819_4557_934x156.png | https://rumex.com/cdn/shop/products/mqdefault_b9d91d83-3968-4aba-b2f7-e2992ed6b8f3_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_ab6e6c5c-8059-42cb-87db-74aa48ff4a82_320x180.jpg,active,false
RUM-SP15JETABL,rumex,Ophthalmology → Treatment Devices,"Sp-15 Jetable Side-port Couteau, Double Bevel, 1.00 Mm, 15°, Droit, Safety Système, 6 Par Boîte","Sp-15 Disposable Side-port Knife, Double Bevel, 1.00 Mm, 15°, Straight, Safety System, 6 Per Box","Pour initial stab incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.sp-30-side_port_knife_with_safety_lid,sp-45-side_port_knife_with_safety_lid,cc-27-clear_corneal_knife,14-022d-disposable_barraquer_speculum_with_solid_blades,4-0331d-disposable_utrata_capsulorhexis_forceps,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_BestSelling.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/best_selling18.png?v=1612360270;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For initial stab incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.sp-30-side_port_knife_with_safety_lid,sp-45-side_port_knife_with_safety_lid,cc-27-clear_corneal_knife,14-022d-disposable_barraquer_speculum_with_solid_blades,4-0331d-disposable_utrata_capsulorhexis_forceps,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_BestSelling.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/best_selling18.png?v=1612360270;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1818_4556_450x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_ab6e6c5c-8059-42cb-87db-74aa48ff4a82_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1818_4556_934x156.png | https://rumex.com/cdn/shop/products/mqdefault_ab6e6c5c-8059-42cb-87db-74aa48ff4a82_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_b9d91d83-3968-4aba-b2f7-e2992ed6b8f3_320x180.jpg,active,false
RUM-SL32JETABL,rumex,Ophthalmology → Treatment Devices,"Sl-32 Jetable Couteau à Fente, Simple Bevel, 3.20 Mm, Angulé, Safety Système, 6 Par Boîte","Sl-32 Disposable Slit Knife, Single Bevel, 3.20 Mm, Angled, Safety System, 6 Per Box","Pour scléral tunnel incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.sl-28-slit_knife_with_safety_lid,cc-27-clear_corneal_knife,sp-15-side_port_knife_with_safety_lid,5-0331d-disposable_lester_lens_manipulator,7-093d-disposable_drysdale_nucleus_manipulator,18-304-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","For scleral tunnel incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.sl-28-slit_knife_with_safety_lid,cc-27-clear_corneal_knife,sp-15-side_port_knife_with_safety_lid,5-0331d-disposable_lester_lens_manipulator,7-093d-disposable_drysdale_nucleus_manipulator,18-304-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.",,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/SL-32_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_e1939d99-59a4-4d3f-929a-6179862d30e8_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_e1939d99-59a4-4d3f-929a-6179862d30e8_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_00d729d3-be5d-4e62-a662-c66f13d3187e_320x180.jpg | https://rumex.com/cdn/shop/products/7407_10006_512x88.png,active,false
